Company URL,Company Name,Company Description,Company Website,Founder Name,Founder LinkedIn,Founder Title
https://www.ycombinator.com/companies/aegis,Aegis,"Faster Revenue Recovery for Healthcare Providers. Founded in 2025 by Aarav Bajaj, Dhanya Shah, and Krishang Todi, Aegis has 3 employees based in San Francisco, CA, USA.",https://aegishealth.us/,Faster Revenue Recovery for Healthcare Providers,https://www.linkedin.com/in/aarav-bajaj-408ab01b1/,Founder
https://www.ycombinator.com/companies/aegis,Aegis,"Faster Revenue Recovery for Healthcare Providers. Founded in 2025 by Aarav Bajaj, Dhanya Shah, and Krishang Todi, Aegis has 3 employees based in San Francisco, CA, USA.",https://aegishealth.us/,Aarav Bajaj,https://www.linkedin.com/in/aarav-bajaj-408ab01b1/,Founder
https://www.ycombinator.com/companies/aegis,Aegis,"Faster Revenue Recovery for Healthcare Providers. Founded in 2025 by Aarav Bajaj, Dhanya Shah, and Krishang Todi, Aegis has 3 employees based in San Francisco, CA, USA.",https://aegishealth.us/,Dhanya Shah,https://www.linkedin.com/in/dhanya-shah-97878835b/,Founder
https://www.ycombinator.com/companies/aegis,Aegis,"Faster Revenue Recovery for Healthcare Providers. Founded in 2025 by Aarav Bajaj, Dhanya Shah, and Krishang Todi, Aegis has 3 employees based in San Francisco, CA, USA.",https://aegishealth.us/,Krishang Todi,https://www.linkedin.com/in/krishang-todi-a6525b135/?trk=opento_sprofile_details,Founder
https://www.ycombinator.com/companies/aegis,Aegis,"Faster Revenue Recovery for Healthcare Providers. Founded in 2025 by Aarav Bajaj, Dhanya Shah, and Krishang Todi, Aegis has 3 employees based in San Francisco, CA, USA.",https://aegishealth.us/,Aegis,https://www.linkedin.com/company/aegis-yc-x25/,
https://www.ycombinator.com/companies/aegis,Aegis,"Faster Revenue Recovery for Healthcare Providers. Founded in 2025 by Aarav Bajaj, Dhanya Shah, and Krishang Todi, Aegis has 3 employees based in San Francisco, CA, USA.",https://aegishealth.us/,Programs,https://www.linkedin.com/school/y-combinator/,
https://www.ycombinator.com/companies/airweave,Airweave,"Open-Source Tool That Lets Agents Search Any App or Database. Founded in 2025 by Rauf Akdemir and Lennert Jansen, Airweave has 2 employees based in San Francisco, CA, USA.",https://airweave.ai,Open-Source Tool That Lets Agents Search Any App or Database,https://www.linkedin.com/in/orhan-rauf-akdemir/,Founder
https://www.ycombinator.com/companies/airweave,Airweave,"Open-Source Tool That Lets Agents Search Any App or Database. Founded in 2025 by Rauf Akdemir and Lennert Jansen, Airweave has 2 employees based in San Francisco, CA, USA.",https://airweave.ai,Rauf Akdemir,https://www.linkedin.com/in/orhan-rauf-akdemir/,Founder
https://www.ycombinator.com/companies/airweave,Airweave,"Open-Source Tool That Lets Agents Search Any App or Database. Founded in 2025 by Rauf Akdemir and Lennert Jansen, Airweave has 2 employees based in San Francisco, CA, USA.",https://airweave.ai,Lennert Jansen,https://www.linkedin.com/in/lennertjansen,Founder
https://www.ycombinator.com/companies/airweave,Airweave,"Open-Source Tool That Lets Agents Search Any App or Database. Founded in 2025 by Rauf Akdemir and Lennert Jansen, Airweave has 2 employees based in San Francisco, CA, USA.",https://airweave.ai,,https://www.linkedin.com/in/lennertjansen,
https://www.ycombinator.com/companies/airweave,Airweave,"Open-Source Tool That Lets Agents Search Any App or Database. Founded in 2025 by Rauf Akdemir and Lennert Jansen, Airweave has 2 employees based in San Francisco, CA, USA.",https://airweave.ai,Airweave,https://nl.linkedin.com/company/airweave-dev,
https://www.ycombinator.com/companies/airweave,Airweave,"Open-Source Tool That Lets Agents Search Any App or Database. Founded in 2025 by Rauf Akdemir and Lennert Jansen, Airweave has 2 employees based in San Francisco, CA, USA.",https://airweave.ai,,https://nl.linkedin.com/company/airweave-dev,
https://www.ycombinator.com/companies/airweave,Airweave,"Open-Source Tool That Lets Agents Search Any App or Database. Founded in 2025 by Rauf Akdemir and Lennert Jansen, Airweave has 2 employees based in San Francisco, CA, USA.",https://airweave.ai,Programs,https://www.linkedin.com/school/y-combinator/,
https://www.ycombinator.com/companies/alkali,Alkali,"The Co-Pilot for Chemical Process Design. Founded in 2025 by Emmett Goodman and Victor Miller, Alkali has 2 employees based in San Francisco, CA, USA.",https://alkali-eng.com/,The Co-Pilot for Chemical Process Design,https://www.linkedin.com/in/emmett-goodman/,Founder
https://www.ycombinator.com/companies/alkali,Alkali,"The Co-Pilot for Chemical Process Design. Founded in 2025 by Emmett Goodman and Victor Miller, Alkali has 2 employees based in San Francisco, CA, USA.",https://alkali-eng.com/,Emmett Goodman,https://www.linkedin.com/in/emmett-goodman/,Founder
https://www.ycombinator.com/companies/alkali,Alkali,"The Co-Pilot for Chemical Process Design. Founded in 2025 by Emmett Goodman and Victor Miller, Alkali has 2 employees based in San Francisco, CA, USA.",https://alkali-eng.com/,,https://www.linkedin.com/in/emmett-goodman/,
https://www.ycombinator.com/companies/alkali,Alkali,"The Co-Pilot for Chemical Process Design. Founded in 2025 by Emmett Goodman and Victor Miller, Alkali has 2 employees based in San Francisco, CA, USA.",https://alkali-eng.com/,Victor Miller,https://www.linkedin.com/in/victor-v-a514248b,Founder
https://www.ycombinator.com/companies/alkali,Alkali,"The Co-Pilot for Chemical Process Design. Founded in 2025 by Emmett Goodman and Victor Miller, Alkali has 2 employees based in San Francisco, CA, USA.",https://alkali-eng.com/,Alkali,https://www.linkedin.com/company/alkali-engineering/,
https://www.ycombinator.com/companies/alkali,Alkali,"The Co-Pilot for Chemical Process Design. Founded in 2025 by Emmett Goodman and Victor Miller, Alkali has 2 employees based in San Francisco, CA, USA.",https://alkali-eng.com/,Programs,https://www.linkedin.com/school/y-combinator/,
https://www.ycombinator.com/companies/almond-2,Almond,"Vision-first robots for manufacturing inspection & automation. Founded in 2025 by Saba Khalilnaji and Shawn Patel, Almond has 2 employees based in .",https://almondbot.com/,Vision-first robots for manufacturing inspection & automation,https://www.linkedin.com/in/saba-khalilnaji-853631241/,Founder
https://www.ycombinator.com/companies/almond-2,Almond,"Vision-first robots for manufacturing inspection & automation. Founded in 2025 by Saba Khalilnaji and Shawn Patel, Almond has 2 employees based in .",https://almondbot.com/,Saba Khalilnaji,https://www.linkedin.com/in/saba-khalilnaji-853631241/,Founder
https://www.ycombinator.com/companies/almond-2,Almond,"Vision-first robots for manufacturing inspection & automation. Founded in 2025 by Saba Khalilnaji and Shawn Patel, Almond has 2 employees based in .",https://almondbot.com/,,https://www.linkedin.com/in/saba-khalilnaji-853631241/,
https://www.ycombinator.com/companies/almond-2,Almond,"Vision-first robots for manufacturing inspection & automation. Founded in 2025 by Saba Khalilnaji and Shawn Patel, Almond has 2 employees based in .",https://almondbot.com/,Shawn Patel,https://linkedin.com/in/shawnpatel,Founder
https://www.ycombinator.com/companies/almond-2,Almond,"Vision-first robots for manufacturing inspection & automation. Founded in 2025 by Saba Khalilnaji and Shawn Patel, Almond has 2 employees based in .",https://almondbot.com/,Almond,https://www.linkedin.com/company/almond-inc,
https://www.ycombinator.com/companies/almond-2,Almond,"Vision-first robots for manufacturing inspection & automation. Founded in 2025 by Saba Khalilnaji and Shawn Patel, Almond has 2 employees based in .",https://almondbot.com/,,https://www.linkedin.com/company/almond-inc,
https://www.ycombinator.com/companies/almond-2,Almond,"Vision-first robots for manufacturing inspection & automation. Founded in 2025 by Saba Khalilnaji and Shawn Patel, Almond has 2 employees based in .",https://almondbot.com/,Programs,https://www.linkedin.com/school/y-combinator/,
https://www.ycombinator.com/companies/anvil,Anvil,"Optimize your brand's visibility within LLMs. Founded in 2024 by Barak Ben Noon and Daniel Siryakov, Anvil has 2 employees based in New York, NY, USA.",https://joinanvil.com,Optimize your brand's visibility within LLMs,https://www.linkedin.com/in/barak-ben-noon/,Founder
https://www.ycombinator.com/companies/anvil,Anvil,"Optimize your brand's visibility within LLMs. Founded in 2024 by Barak Ben Noon and Daniel Siryakov, Anvil has 2 employees based in New York, NY, USA.",https://joinanvil.com,Barak Ben Noon,https://www.linkedin.com/in/barak-ben-noon/,Founder
https://www.ycombinator.com/companies/anvil,Anvil,"Optimize your brand's visibility within LLMs. Founded in 2024 by Barak Ben Noon and Daniel Siryakov, Anvil has 2 employees based in New York, NY, USA.",https://joinanvil.com,Daniel Siryakov,https://www.linkedin.com/in/daniel-siryakov-cfa-07071255/,Founder
https://www.ycombinator.com/companies/anvil,Anvil,"Optimize your brand's visibility within LLMs. Founded in 2024 by Barak Ben Noon and Daniel Siryakov, Anvil has 2 employees based in New York, NY, USA.",https://joinanvil.com,,https://www.linkedin.com/in/daniel-siryakov-cfa-07071255/,
https://www.ycombinator.com/companies/anvil,Anvil,"Optimize your brand's visibility within LLMs. Founded in 2024 by Barak Ben Noon and Daniel Siryakov, Anvil has 2 employees based in New York, NY, USA.",https://joinanvil.com,Anvil,https://www.linkedin.com/company/anvil-analytics/,
https://www.ycombinator.com/companies/anvil,Anvil,"Optimize your brand's visibility within LLMs. Founded in 2024 by Barak Ben Noon and Daniel Siryakov, Anvil has 2 employees based in New York, NY, USA.",https://joinanvil.com,Programs,https://www.linkedin.com/school/y-combinator/,
https://www.ycombinator.com/companies/approval-ai,Approval AI,"AI that shops your mortgage, negotiates it, and wins. Founded in 2025 by Arjun Lalwani and Helly Shah, Approval AI has 2 employees based in San Francisco, CA, USA.",https://getapproval.ai,"AI that shops your mortgage, negotiates it, and wins",https://www.linkedin.com/in/arjun-lalwani,Co-Founder & CEO
https://www.ycombinator.com/companies/approval-ai,Approval AI,"AI that shops your mortgage, negotiates it, and wins. Founded in 2025 by Arjun Lalwani and Helly Shah, Approval AI has 2 employees based in San Francisco, CA, USA.",https://getapproval.ai,Arjun Lalwani,https://www.linkedin.com/in/arjun-lalwani,Co-Founder & CEO
https://www.ycombinator.com/companies/approval-ai,Approval AI,"AI that shops your mortgage, negotiates it, and wins. Founded in 2025 by Arjun Lalwani and Helly Shah, Approval AI has 2 employees based in San Francisco, CA, USA.",https://getapproval.ai,Helly Shah,https://www.linkedin.com/in/hellyshah,Co-Founder & CTO
https://www.ycombinator.com/companies/approval-ai,Approval AI,"AI that shops your mortgage, negotiates it, and wins. Founded in 2025 by Arjun Lalwani and Helly Shah, Approval AI has 2 employees based in San Francisco, CA, USA.",https://getapproval.ai,Approval AI,https://www.linkedin.com/company/approval-ai/,
https://www.ycombinator.com/companies/approval-ai,Approval AI,"AI that shops your mortgage, negotiates it, and wins. Founded in 2025 by Arjun Lalwani and Helly Shah, Approval AI has 2 employees based in San Francisco, CA, USA.",https://getapproval.ai,,https://www.linkedin.com/company/approval-ai/,
https://www.ycombinator.com/companies/approval-ai,Approval AI,"AI that shops your mortgage, negotiates it, and wins. Founded in 2025 by Arjun Lalwani and Helly Shah, Approval AI has 2 employees based in San Francisco, CA, USA.",https://getapproval.ai,Programs,https://www.linkedin.com/school/y-combinator/,
https://www.ycombinator.com/companies/attune,Attune,"Faster builds, zero effort. Founded in 2025 by Xin Ding and Eliza Zhang, Attune has 2 employees based in San Francisco, CA, USA.",https://attunehq.com,"Faster builds, zero effort.",https://www.linkedin.com/in/xinding3/,Founder
https://www.ycombinator.com/companies/attune,Attune,"Faster builds, zero effort. Founded in 2025 by Xin Ding and Eliza Zhang, Attune has 2 employees based in San Francisco, CA, USA.",https://attunehq.com,Xin Ding,https://www.linkedin.com/in/xinding3/,Founder
https://www.ycombinator.com/companies/attune,Attune,"Faster builds, zero effort. Founded in 2025 by Xin Ding and Eliza Zhang, Attune has 2 employees based in San Francisco, CA, USA.",https://attunehq.com,,https://www.linkedin.com/in/xinding3/,
https://www.ycombinator.com/companies/attune,Attune,"Faster builds, zero effort. Founded in 2025 by Xin Ding and Eliza Zhang, Attune has 2 employees based in San Francisco, CA, USA.",https://attunehq.com,Eliza Zhang,https://linkedin.com/in/lehaozhang,Founder
